id,university_name,program_name,country_id,location,campus,level_of_study,degree_15yr_accepted,portal_or_direct,duration_in_months,duration_in_years,pace_of_study,teaching_form,language_of_study,private_or_public,currency,application_fee,admission_fee,initial_deposit,scholarship,Scholarship_Criteria,concentration,tuition_fee_per_semester,tuition_fee_per_year,tuition_fee_per_course,credits,per_credit_rate,gre_score,gmat_score,sat_score,act_score,ielts,ielts_nblt,toefl,toefl_nblt,duolingo,duolingo_nblt,pte,pte_nblt,backlogs,moi_accepted,wes_required,aps_required,inter_english_first_year,inter_english_second_year,intakes,deadlines,gap_accepted,without_maths,stateboard_accepted,entry_requirement_out_of4,entry_requirement_out_of5,entry_requirement_out_of10,entry_requirement_out_of100,english_requirement_icse,english_requirement_cbse,english_requirement_ib,english_requirement_others,age_gap_upto,noticeable_academic_gap,data,created_at,updated_at
,California State University San Marcos,Biotechnology,2,California,,Bachelor,Biotechnology,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Science,7623,15246,,,,2.5,0,,,,5.5,NA,79,NA,110,NA,59,NA,NA,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,Business,2,California,,Bachelor,Business,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Business & Management,7623,15246,,,,2.5,0,,,,5.5,NA,79,NA,110,NA,59,NA,NA,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,Computer Science,2,California,,Bachelor,Computer Science,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Computer Science & IT,7623,15246,,,,2.5,0,,,,5.5,NA,79,NA,110,NA,59,NA,NA,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,Engineering,2,California,,Bachelor,Engineering,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Engineering,7623,15246,,,,2.5,0,,,,5.5,NA,79,NA,110,NA,59,NA,NA,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,Mass Media,2,California,,Bachelor,Mass Media,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Other,7623,15246,,,,2.5,0,,,,5.5,NA,79,NA,110,NA,59,NA,NA,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,Business Administration-MBA,2,California,,Bachelor,Business Administration-MBA,Study Group,48 months,4years,NA,On Campus,English,Public,$,70,,550, ,,Business & Management,15758,31515,,,,3,0,,,,6.5,NA,80,NA,110,NA,59,NA,Flex,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,MS Biological Sciences,2,California,,Master,MS Biological Sciences,Study Group,24 months,2 years,Yes,On Campus,English,Public,$,70,,550, ,,Science,9575,19150,,,,3,0,,,,6.5,NA,80,NA,110,NA,59,NA,Flex,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,MS Biotechnology,2,California,,Master,MS Biotechnology,Study Group,24 months,2 years,Yes,On Campus,English,Public,$,70,,550, ,,Science,11200,22400,,,,3,0,,,,6.5,NA,80,NA,110,NA,59,NA,Flex,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,MS Chemistry,2,California,,Master,MS Chemistry,Study Group,24 months,2 years,Yes,On Campus,English,Public,$,70,,550, ,,Science,9575,19150,,,,3,0,,,,6.5,NA,80,NA,110,NA,59,NA,Flex,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
,California State University San Marcos,MS Computer Science,2,California,,Master,MS Computer Science,Study Group,24 months,2 years,Yes,On Campus,English,Public,$,70,,550, ,,Computer Science & IT,9575,19150,,,,3,0,,,,6.5,NA,80,NA,110,NA,59,NA,Flex,No,No,,,Spring,,,,Fall,,,,,,,,,,,,,
